concurrency,batch_size,duration_seconds,total_requests,success_requests,success_rate_pct,error_rate_pct,e2e_ms_p50,e2e_ms_p95,e2e_ms_mean,req_per_sec,samples_per_sec,server_ms_mean
1,1000,60,182,182,100.0,0.0,321.9229,361.922,330.9073,3.0333,3033.3333,102.7582
2,1000,60,297,297,100.0,0.0,404.1354,468.5202,404.4892,4.95,4950.0,165.7297
4,1000,60,399,399,100.0,0.0,612.1005,722.1721,602.9005,6.65,6650.0,342.9941
8,1000,60,556,555,99.82,0.18,884.8429,1057.6189,871.6695,9.25,9250.0,573.5397
16,1000,60,562,562,100.0,0.0,1704.595,2210.6291,1725.1489,9.3667,9366.6667,923.7229
32,1000,60,1466,574,39.15,60.85,2098.1423,4735.7467,2618.3689,9.5667,9566.6667,1049.7713
64,1000,60,2569,598,23.28,76.72,2143.7328,7652.089,3279.7949,9.9667,9966.6667,1347.1804
128,1000,60,4294,613,14.28,85.72,2371.4364,14704.7601,4755.9402,10.2167,10216.6667,1856.5971
256,1000,60,5232,655,12.52,87.48,2858.0359,28092.9835,7357.3045,10.9167,10916.6667,2330.669
512,1000,60,7118,688,9.67,90.33,4393.3105,28680.7535,9056.7846,11.4667,11466.6667,2031.1452
1024,1000,60,9192,691,7.52,92.48,7321.4812,28271.8476,10115.5425,11.5167,11516.6667,2085.5082
