concurrency,batch_size,duration_seconds,total_requests,success_requests,success_rate_pct,error_rate_pct,e2e_ms_p50,e2e_ms_p95,e2e_ms_mean,req_per_sec,samples_per_sec,server_ms_mean
1,5,30,351,351,100.0,0.0,85.6977,90.1546,85.3899,11.7,58.5,0.4863
2,5,30,690,690,100.0,0.0,85.7572,97.8159,87.0068,23.0,115.0,0.4974
4,5,30,1262,1262,100.0,0.0,93.689,113.7418,95.0393,42.0667,210.3333,0.4805
8,5,30,2625,2625,100.0,0.0,89.7907,105.2389,91.4738,87.5,437.5,0.4675
16,5,30,1575,1559,98.98,1.02,94.4938,120.7169,97.3388,51.9667,259.8333,0.4601
32,5,30,8199,8192,99.91,0.09,114.1623,143.7394,117.2248,273.0667,1365.3333,0.4615
64,5,30,8962,8926,99.6,0.4,198.3856,264.9132,207.5414,297.5333,1487.6667,0.4614
128,5,30,9180,9150,99.67,0.33,414.9105,494.921,420.86,305.0,1525.0,0.4617
256,5,30,9123,9051,99.21,0.79,812.0775,948.9586,831.3431,301.7,1508.5,0.466
512,5,30,9084,9059,99.72,0.28,1197.1887,4783.2766,1744.0988,301.9667,1509.8333,0.4729
1024,5,30,8480,8452,99.67,0.33,2030.6658,11945.4373,3941.4483,281.7333,1408.6667,0.4775
