concurrency,batch_size,duration_seconds,total_requests,success_requests,success_rate_pct,error_rate_pct,e2e_ms_p50,e2e_ms_p95,e2e_ms_mean,req_per_sec,samples_per_sec,server_ms_mean
1,5,30,349,349,100.0,0.0,85.7051,90.8908,85.8941,11.6333,58.1667,0.4905
2,5,30,708,708,100.0,0.0,84.5135,90.5056,84.7541,23.6,118.0,0.4777
4,5,30,1311,1311,100.0,0.0,85.8319,119.4973,91.4734,43.7,218.5,0.4724
8,5,30,2787,2787,100.0,0.0,85.6303,94.9878,86.1896,92.9,464.5,0.4586
16,5,30,3398,3382,99.53,0.47,91.219,102.3934,91.8439,112.7333,563.6667,0.4579
32,5,30,8243,8242,99.99,0.01,114.026,141.0531,116.6271,274.7333,1373.6667,0.461
64,5,30,8919,8887,99.64,0.36,197.5707,272.4799,208.1445,296.2333,1481.1667,0.468
128,5,30,9109,9096,99.86,0.14,404.8981,512.0583,423.0597,303.2,1516.0,0.4655
256,5,30,9156,9101,99.4,0.6,801.4125,1015.8223,822.7212,303.3667,1516.8333,0.468
512,5,30,8900,8885,99.83,0.17,1212.9494,4900.7786,1780.6777,296.1667,1480.8333,0.4705
